code,industry_title,size_dollars_mm,size_employees
423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",,150
423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",,200
423390,Other Construction Material Merchant Wholesalers,,100
423410,Photographic Equipment and Supplies Merchant Wholesalers,,200
423420,Office Equipment Merchant Wholesalers,,200
423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,,250
423440,Other Commercial Equipment Merchant Wholesalers,,100
423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,200
423460,Ophthalmic Goods Merchant Wholesalers,,150
423490,Other Professional Equipment and Supplies Merchant Wholesalers,,150
423510,Metal Service Centers and Other Metal Merchant Wholesalers,,200
423520,Coal and Other Mineral and Ore Merchant Wholesalers,,100
423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",,200
423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",,200
423690,Other Electronic Parts and Equipment Merchant Wholesalers,,250
423710,Hardware Merchant Wholesalers,,150
423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,,200
423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,,150
423740,Refrigeration Equipment and Supplies Merchant Wholesalers,,100
423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,,250
423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,,100
423830,Industrial Machinery and Equipment Merchant Wholesalers,,100
423840,Industrial Supplies Merchant Wholesalers,,100
423850,Service Establishment Equipment and Supplies Merchant Wholesalers,,100
423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,,150
423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,,100
423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,,150
423930,Recyclable Material Merchant Wholesalers,,100
423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",,100
423990,Other Miscellaneous Durable Goods Merchant Wholesalers,,100
424110,Printing and Writing Paper Merchant Wholesalers,,200
424120,Stationery and Office Supplies Merchant Wholesalers,,150
424130,Industrial and Personal Service Paper Merchant Wholesalers,,150
424210,Drugs and Druggists' Sundries Merchant Wholesalers,,250
424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",,100
424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,,150
424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",,100
424340,Footwear Merchant Wholesalers,,200
424410,General Line Grocery Merchant Wholesalers,,250
424420,Packaged Frozen Food Merchant Wholesalers,,200
424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,,200
424440,Poultry and Poultry Product Merchant Wholesalers,,150
424450,Confectionery Merchant Wholesalers,,200
424460,Fish and Seafood Merchant Wholesalers,,100
424470,Meat and Meat Product Merchant Wholesalers,,150
424480,Fresh Fruit and Vegetable Merchant Wholesalers,,100
424490,Other Grocery and Related Products Merchant Wholesalers,,250
424510,Grain and Field Bean Merchant Wholesalers,,200
424520,Livestock Merchant Wholesalers,,100
424590,Other Farm Product Raw Material Merchant Wholesalers,,100
424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,,150
424690,Other Chemical and Allied Products Merchant Wholesalers,,150
424710,Petroleum Bulk Stations and Terminals,,200
424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),,200
424810,Beer and Ale Merchant Wholesalers,,200
424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,,250
424910,Farm Supplies Merchant Wholesalers,,200
424920,"Book, Periodical, and Newspaper Merchant Wholesalers",,200
424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",,100
424940,Tobacco and Tobacco Product Merchant Wholesalers,,250
424950,"Paint, Varnish, and Supplies Merchant Wholesalers",,150
424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,,100
425110,Business to Business Electronic Markets,,100
425120,Wholesale Trade Agents and Brokers,,100
441110,New Car Dealers,,200
441120,Used Car Dealers,$25.00 ,
441210,Recreational Vehicle Dealers,$32.50 ,
441222,Boat Dealers,$32.50 ,
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",$32.50 ,
441310,Automotive Parts and Accessories Stores,$15.00 ,
441320,Tire Dealers,$15.00 ,
442110,Furniture Stores,$20.50 ,
442210,Floor Covering Stores,$7.50 ,
442291,Window Treatment Stores,$7.50 ,
442299,All Other Home Furnishings Stores,$20.50 ,
443141,Household Appliance Stores,$11.00 ,
443142,Electronics Stores,$32.50 ,
444110,Home Centers,$38.50 ,
444120,Paint and Wallpaper Stores,$27.50 ,
444130,Hardware Stores,$7.50 ,
444190,Other Building Material Dealers,$20.50 ,
444210,Outdoor Power Equipment Stores,$7.50 ,
444220,Nursery and Garden Centers,$11.00 ,
445110,Supermarkets and Other Grocery (except Convenience) Stores,$32.50 ,
445120,Convenience Stores,$29.50 ,
445210,Meat Markets,$7.50 ,
445220,Fish and Seafood Markets,$7.50 ,
445230,Fruit and Vegetable Markets,$7.50 ,
445291,Baked Goods Stores,$7.50 ,
445292,Confectionery and Nut Stores,$7.50 ,
445299,All Other Specialty Food Stores,$7.50 ,
445310,"Beer, Wine and Liquor Stores",$7.50 ,
446110,Pharmacies and Drug Stores,$27.50 ,
446120,"Cosmetics, Beauty Supplies and Perfume Stores",$27.50 ,
446130,Optical Goods Stores,$20.50 ,
446191,Food (Health) Supplement Stores,$15.00 ,
446199,All Other Health and Personal Care Stores,$7.50 ,
447110,Gasoline Stations with Convenience Stores,$29.50 ,
447190,Other Gasoline Stations,$15.00 ,
448110,Men's Clothing Stores,$11.00 ,
448120,Women's Clothing Stores,$27.50 ,
448130,Children's and Infants' Clothing Stores,$32.50 ,
448140,Family Clothing Stores,$38.50 ,
448150,Clothing Accessories Stores,$15.00 ,
448190,Other Clothing Stores,$20.50 ,
448210,Shoe Stores,$27.50 ,
448310,Jewelry Stores,$15.00 ,
448320,Luggage and Leather Goods Stores,$27.50 ,
451110,Sporting Goods Stores,$15.00 ,
451120,"Hobby, Toy and Game Stores",$27.50 ,
451130,"Sewing, Needlework and Piece Goods Stores",$27.50 ,
451140,Musical Instrument and Supplies Stores,$11.00 ,
451211,Book Stores,$27.50 ,
451212,News Dealers and Newsstands,$7.50 ,
452210,Department Stores,$32.50 ,
452311,Warehouse Clubs and Supercenters,$29.50 ,
452319,All Other General Merchandise Stores,$32.50 ,
453110,Florists,$7.50 ,
453210,Office Supplies and Stationery Stores,$32.50 ,
453220,"Gift, Novelty and Souvenir Stores",$7.50 ,
453310,Used Merchandise Stores,$7.50 ,
453910,Pet and Pet Supplies Stores,$20.50 ,
453920,Art Dealers,$7.50 ,
453930,Manufactured (Mobile) Home Dealers,$15.00 ,
453991,Tobacco Stores,$7.50 ,
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),$7.50 ,
454110,Electronic Shopping and Mail-Order Houses,$38.50 ,
454210,Vending Machine Operators,$11.00 ,
454310,Fuel Dealers,,100
454390,Other Direct Selling Establishments,$7.50 ,
481111,Scheduled Passenger Air Transportation,,"1,500"
481112,Scheduled Freight Air Transportation,,"1,500"
481211,Nonscheduled Chartered Passenger Air Transportation,,"1,500"
481212,Nonscheduled Chartered Freight Air Transportation,,"1,500"
481219,Other Nonscheduled Air Transportation,$15.00 ,
482111,Line-Haul Railroads,,"1,500"
482112,Short Line Railroads,,"1,500"
483111,Deep Sea Freight Transportation,,500
483112,Deep Sea Passenger Transportation,,"1,500"
483113,Coastal and Great Lakes Freight Transportation,,750
483114,Coastal and Great Lakes Passenger Transportation,,500
483211,Inland Water Freight Transportation,,750
483212,Inland Water Passenger Transportation,,500
484110,"General Freight Trucking, Local",$27.50 ,
484121,"General Freight Trucking, Long-Distance, Truckload",$27.50 ,
484122,"General Freight Trucking, Long-Distance, Less Than Truckload",$27.50 ,
484210,Used Household and Office Goods Moving,$27.50 ,
484220,"Specialized Freight (except Used Goods) Trucking, Local",$27.50 ,
484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",$27.50 ,
485111,Mixed Mode Transit Systems,$15.00 ,
485112,Commuter Rail Systems,$15.00 ,
485113,Bus and Other Motor Vehicle Transit Systems,$15.00 ,
485119,Other Urban Transit Systems,$15.00 ,
485210,Interurban and Rural Bus Transportation,$15.00 ,
485310,Taxi Service,$15.00 ,
485320,Limousine Service,$15.00 ,
485410,School and Employee Bus Transportation,$15.00 ,
485510,Charter Bus Industry,$15.00 ,
485991,Special Needs Transportation,$15.00 ,
485999,All Other Transit and Ground Passenger Transportation,$15.00 ,
486110,Pipeline Transportation of Crude Oil,,"1,500"
486210,Pipeline Transportation of Natural Gas,$27.50 ,
486910,Pipeline Transportation of Refined Petroleum Products,,"1,500"
486990,All Other Pipeline Transportation,$37.50 ,
487110,"Scenic and Sightseeing Transportation, Land",$7.50 ,
487210,"Scenic and Sightseeing Transportation, Water",$7.50 ,
487990,"Scenic and Sightseeing Transportation, Other",$7.50 ,
488111,Air Traffic Control,$32.50 ,
488119,Other Airport Operations,$32.50 ,
488190,Other Support Activities for Air Transportation,$32.50 ,
488210,Support Activities for Rail Transportation,$15.00 ,
488310,Port and Harbor Operations,$38.50 ,
488320,Marine Cargo Handling,$38.50 ,
488330,Navigational Services to Shipping,$38.50 ,
488390,Other Support Activities for Water Transportation,$38.50 ,
488410,Motor Vehicle Towing,$7.50 ,
488490,Other Support Activities for Road Transportation,$7.50 ,
488510,Freight Transportation Arrangement10,$15.01 ,
488991,Packing and Crating,$27.50 ,
488999,All Other Support Activities for Transportation,$7.50 ,
491110,Postal Service,$7.50 ,
492110,Couriers and Express Delivery Services,,"1,500"
492210,Local Messengers and Local Delivery,$27.50 ,
493110,General Warehousing and Storage,$27.50 ,
493120,Refrigerated Warehousing and Storage,$27.50 ,
493130,Farm Product Warehousing and Storage,$27.50 ,
493190,Other Warehousing and Storage,$27.50 ,
511110,Newspaper Publishers,,"1,000"
511120,Periodical Publishers,,"1,000"
511130,Book Publishers,,"1,000"
511140,Directory and Mailing List Publishers,,"1,250"
511191,Greeting Card Publishers,,"1,500"
511199,All Other Publishers,,500
511210,Software Publishers20,$38.50 ,
512110,Motion Picture and Video Production,$32.50 ,
512120,Motion Picture and Video Distribution,$32.00 ,
512131,Motion Picture Theaters (except Drive-Ins),$38.50 ,
512132,Drive-In Motion Picture Theaters,$7.50 ,
512191,Teleproduction and Other Postproduction Services,$32.00 ,
512199,Other Motion Picture and Video Industries,$20.50 ,
512230,Music Publishers,,750
512240,Sound Recording Studios,$7.50 ,
512250,Record Production and Distribution,,250
512290,Other Sound Recording Industries,$11.00 ,
515111,Radio Networks,$32.50 ,
515112,Radio Stations,$38.50 ,
515120,Television Broadcasting,$38.50 ,
515210,Cable and Other Subscription Programming,$38.50 ,
517311,Wired Telecommunications Carriers,,"1,500"
517312,Wireless Telecommunications Carriers (except Satellite),,"1,500"
517410,Satellite Telecommunications,$32.50 ,
517911,Telecommunications Resellers,,"1,500"
517919,All Other Telecommunications,$32.50 ,
518210,"Data Processing, Hosting, and Related Services",$32.50 ,
519110,News Syndicates,$27.50 ,
519120,Libraries and Archives,$15.00 ,
519130,Internet Publishing and Broadcasting and Web Search Portals,,"1,000"
519190,All Other Information Services,$27.50 ,
522110,Commercial Banking8,$550 million in assets8,
522120,Savings Institutions8,$550 million in assets8,
522130,Credit Unions8,$550 million in assets8,
522190,Other Depository Credit Intermediation8,$550 million in assets8,
522210,Credit Card Issuing8,$550 million in assets8,
522220,Sales Financing,$38.50 ,
522291,Consumer Lending,$38.50 ,
522292,Real Estate Credit,$38.50 ,
522293,International Trade Financing,$38.50 ,
522294,Secondary Market Financing,$38.50 ,
522298,All Other Nondepository Credit Intermediation,$38.50 ,
522310,Mortgage and Nonmortgage Loan Brokers,$7.50 ,
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",$38.50 ,
522390,Other Activities Related to Credit Intermediation,$20.50 ,
523110,Investment Banking and Securities Dealing,$38.50 ,
523120,Securities Brokerage,$38.50 ,
523130,Commodity Contracts Dealing,$38.50 ,
523140,Commodity Contracts Brokerage,$38.50 ,
523210,Securities and Commodity Exchanges,$38.50 ,
523910,Miscellaneous Intermediation,$38.50 ,
523920,Portfolio Management,$38.50 ,
523930,Investment Advice,$38.50 ,
523991,"Trust, Fiduciary and Custody Activities",$38.50 ,
523999,Miscellaneous Financial Investment Activities,$38.50 ,
524113,Direct Life Insurance Carriers,$38.50 ,
524114,Direct Health and Medical Insurance Carriers,$38.50 ,
524126,Direct Property and Casualty Insurance Carriers,,"1,500"
524127,Direct Title Insurance Carriers,$38.50 ,
524128,"Other Direct Insurance (except Life, Health and Medical) Carriers",$38.50 ,
524130,Reinsurance Carriers,$38.50 ,
524210,Insurance Agencies and Brokerages,$7.50 ,
524291,Claims Adjusting,$20.50 ,
524292,Third Party Administration of Insurance and Pension Funds,$32.50 ,
524298,All Other Insurance Related Activities,$15.00 ,
525110,Pension Funds,$32.50 ,
525120,Health and Welfare Funds,$32.50 ,
525190,Other Insurance Funds,$32.50 ,
525910,Open-End Investment Funds,$32.50 ,
525920,"Trusts, Estates, and Agency Accounts",$32.50 ,
525990,Other Financial Vehicles,$32.50 ,
531110,Lessors of Residential Buildings and Dwellings9,$27.59 ,
531120,Lessors of Nonresidential Buildings (except Miniwarehouses) 9,$27.59 ,
531130,Lessors of Miniwarehouses and Self Storage Units9,$27.59 ,
531190,Lessors of Other Real Estate Property9,$27.59 ,
531210,Offices of Real Estate Agents and Brokers10,$7.51 ,
531311,Residential Property Managers,$7.50 ,
531312,Nonresidential Property Managers,$7.50 ,
531320,Offices of Real Estate Appraisers,$7.50 ,
531390,Other Activities Related to Real Estate,$7.50 ,
532111,Passenger Car Rental,$38.50 ,
532112,Passenger Car Leasing,$38.50 ,
532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",$38.50 ,
532210,Consumer Electronics and Appliances Rental,$38.50 ,
532281,Formal Wear and Costume Rental,$20.50 ,
532282,Video Tape and Disc Rental,$27.50 ,
532283,Home Health Equipment Rental,$32.50 ,
532284,Recreational Goods Rental,$7.50 ,
532289,All Other Consumer Goods Rental,$7.50 ,
532310,General Rental Centers,$7.50 ,
532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",$32.50 ,
532412,"Construction, Mining and Forestry Machinery and Equipment Rental and Leasing",$32.50 ,
532420,Office Machinery and Equipment Rental and Leasing,$32.50 ,
532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,$32.50 ,
533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),$38.50 ,
541110,Offices of Lawyers,$11.00 ,
541191,Title Abstract and Settlement Offices,$11.00 ,
541199,All Other Legal Services,$11.00 ,
541211,Offices of Certified Public Accountants,$20.50 ,
541213,Tax Preparation Services,$20.50 ,
541214,Payroll Services,$20.50 ,
541219,Other Accounting Services,$20.50 ,
541310,Architectural Services,$7.50 ,
541320,Landscape Architectural Services,$7.50 ,
541330,Engineering Services,$15.00 ,
541340,Drafting Services,$7.50 ,
541350,Building Inspection Services,$7.50 ,
541360,Geophysical Surveying and Mapping Services,$15.00 ,
541370,Surveying and Mapping (except Geophysical) Services,$15.00 ,
541380,Testing Laboratories,$15.00 ,
541410,Interior Design Services,$7.50 ,
541420,Industrial Design Services,$7.50 ,
541430,Graphic Design Services,$7.50 ,
541490,Other Specialized Design Services,$7.50 ,
541511,Custom Computer Programming Services,$27.50 ,
541512,Computer Systems Design Services,$27.50 ,
541513,Computer Facilities Management Services,$27.50 ,
541519,Other Computer Related Services,$27.50 ,
541611,Administrative Management and General Management Consulting Services,$15.00 ,
541612,Human Resources Consulting Services,$15.00 ,
541613,Marketing Consulting Services,$15.00 ,
541614,"Process, Physical Distribution and Logistics Consulting Services",$15.00 ,
541618,Other Management Consulting Services,$15.00 ,
541620,Environmental Consulting Services,$15.00 ,
541690,Other Scientific and Technical Consulting Services,$15.00 ,
541713,Research and Technology in Nanotechnology11,,"100,011"
541714,Research and Technology in Biotechnology (except Nanobiotechnology)11,,"100,011"
541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)11",,"100,011"
541720,Research and Development in the Social Sciences and Humanities,$20.50 ,
541810,Advertising Agencies10,$15.01 ,
541820,Public Relations Agencies,$15.00 ,
541830,Media Buying Agencies,$15.00 ,
541840,Media Representatives,$15.00 ,
541850,Outdoor Advertising,$15.00 ,
541860,Direct Mail Advertising,$15.00 ,
541870,Advertising Material Distribution Services,$15.00 ,
541890,Other Services Related to Advertising,$15.00 ,
541910,Marketing Research and Public Opinion Polling,$15.00 ,
541921,"Photography Studios, Portrait",$7.50 ,
541922,Commercial Photography,$7.50 ,
541930,Translation and Interpretation Services,$7.50 ,
541940,Veterinary Services,$7.50 ,
541990,"All Other Professional, Scientific and Technical Services",$15.00 ,
551111,Offices of Bank Holding Companies,$20.50 ,
551112,Offices of Other Holding Companies,$20.50 ,
561110,Office Administrative Services,$7.50 ,
561210,Facilities Support Services12,$38.51 ,
561311,Employment Placement Agencies,$27.50 ,
561312,Executive Search Services,$27.50 ,
561320,Temporary Help Services,$27.50 ,
561330,Professional Employer Organizations,$27.50 ,
561410,Document Preparation Services,$15.00 ,
561421,Telephone Answering Services,$15.00 ,
561422,Telemarketing Bureaus and Other contact Centers,$15.00 ,
561431,Private Mail Centers,$15.00 ,
561439,Other Business Service Centers (including Copy Shops),$15.00 ,
561440,Collection Agencies,$15.00 ,
561450,Credit Bureaus,$15.00 ,
561491,Repossession Services,$15.00 ,
561492,Court Reporting and Stenotype Services,$15.00 ,
561499,All Other Business Support Services,$15.00 ,
561510,Travel Agencies10,$20.51 ,
561520,Tour Operators10,$20.51 ,
561591,Convention and Visitors Bureaus,$20.50 ,
561599,All Other Travel Arrangement and Reservation Services,$20.50 ,
561611,Investigation Services,$20.50 ,
561612,Security Guards and Patrol Services,$20.50 ,
561613,Armored Car Services,$20.50 ,
561621,Security Systems Services (except Locksmiths),$20.50 ,
561622,Locksmiths,$20.50 ,
561710,Exterminating and Pest Control Services,$11.00 ,
561720,Janitorial Services,$18.00 ,
561730,Landscaping Services,$7.50 ,
561740,Carpet and Upholstery Cleaning Services,$5.50 ,
561790,Other Services to Buildings and Dwellings,$7.50 ,
561910,Packaging and Labeling Services,$11.00 ,
561920,Convention and Trade Show Organizers10,$11.01 ,
561990,All Other Support Services,$11.00 ,
562111,Solid Waste Collection,$38.50 ,
562112,Hazardous Waste Collection,$38.50 ,
562119,Other Waste Collection,$38.50 ,
562211,Hazardous Waste Treatment and Disposal,$38.50 ,
562212,Solid Waste Landfill,$38.50 ,
562213,Solid Waste Combustors and Incinerators,$38.50 ,
562219,Other Nonhazardous Waste Treatment and Disposal,$38.50 ,
562910,Remediation Services,$20.50 ,
562920,Materials Recovery Facilities,$20.50 ,
562991,Septic Tank and Related Services,$7.50 ,
562998,All Other Miscellaneous Waste Management Services,$7.50 ,
611110,Elementary and Secondary Schools,$11.00 ,
611210,Junior Colleges,$20.50 ,
611310,"Colleges, Universities and Professional Schools",$27.50 ,
611410,Business and Secretarial Schools,$7.50 ,
611420,Computer Training,$11.00 ,
611430,Professional and Management Development Training,$11.00 ,
611511,Cosmetology and Barber Schools,$7.50 ,
611512,Flight Training,$27.50 ,
611513,Apprenticeship Training,$7.50 ,
611519,Other Technical and Trade Schools,$15.00 ,
611610,Fine Arts Schools,$7.50 ,
611620,Sports and Recreation Instruction,$7.50 ,
611630,Language Schools,$11.00 ,
611691,Exam Preparation and Tutoring,$7.50 ,
611692,Automobile Driving Schools,$7.50 ,
611699,All Other Miscellaneous Schools and Instruction,$11.00 ,
611710,Educational Support Services,$15.00 ,
621111,Offices of Physicians (except Mental Health Specialists),$11.00 ,
621112,"Offices of Physicians, Mental Health Specialists",$11.00 ,
621210,Offices of Dentists,$7.50 ,
621310,Offices of Chiropractors,$7.50 ,
621320,Offices of Optometrists,$7.50 ,
621330,Offices of Mental Health Practitioners (except Physicians),$7.50 ,
621340,"Offices of Physical, Occupational and Speech Therapists and Audiologists",$7.50 ,
621391,Offices of Podiatrists,$7.50 ,
621399,Offices of All Other Miscellaneous Health Practitioners,$7.50 ,
621410,Family Planning Centers,$11.00 ,
621420,Outpatient Mental Health and Substance Abuse Centers,$15.00 ,
621491,HMO Medical Centers,$32.50 ,
621492,Kidney Dialysis Centers,$38.50 ,
621493,Freestanding Ambulatory Surgical and Emergency Centers,$15.00 ,
621498,All Other Outpatient Care Centers,$20.50 ,
621511,Medical Laboratories,$32.50 ,
621512,Diagnostic Imaging Centers,$15.00 ,
621610,Home Health Care Services,$15.00 ,
621910,Ambulance Services,$15.00 ,
621991,Blood and Organ Banks,$32.50 ,
621999,All Other Miscellaneous Ambulatory Health Care Services,$15.00 ,
622110,General Medical and Surgical Hospitals,$38.50 ,
622210,Psychiatric and Substance Abuse Hospitals,$38.50 ,
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,$38.50 ,
623110,Nursing Care Facilities (Skilled Nursing Facilities),$27.50 ,
623210,Residential Intellectual and Developmental Disability Facilities,$15.00 ,
623220,Residential Mental Health and Substance Abuse Facilities,$15.00 ,
623311,Continuing Care Retirement Communities,$27.50 ,
623312,Assisted Living Facilities for the Elderly,$11.00 ,
623990,Other Residential Care Facilities,$11.00 ,
624110,Child and Youth Services,$11.00 ,
624120,Services for the Elderly and Persons with Disabilities,$11.00 ,
624190,Other Individual and Family Services,$11.00 ,
624210,Community Food Services,$11.00 ,
624221,Temporary Shelters,$11.00 ,
624229,Other Community Housing Services,$15.00 ,
624230,Emergency and Other Relief Services,$32.50 ,
624310,Vocational Rehabilitation Services,$11.00 ,
624410,Child Day Care Services,$7.50 ,
711110,Theater Companies and Dinner Theaters,$20.50 ,
711120,Dance Companies,$11.00 ,
711130,Musical Groups and Artists,$11.00 ,
711190,Other Performing Arts Companies,$27.50 ,
711211,Sports Teams and Clubs,$38.50 ,
711212,Race Tracks,$38.50 ,
711219,Other Spectator Sports,$11.00 ,
711310,"Promoters of Performing Arts, Sports and Similar Events with Facilities",$32.50 ,
711320,"Promoters of Performing Arts, Sports and Similar Events without Facilities",$15.00 ,
711410,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",$11.00 ,
711510,"Independent Artists, Writers, and Performers",$7.50 ,
712110,Museums,$27.50 ,
712120,Historical Sites,$7.50 ,
712130,Zoos and Botanical Gardens,$27.50 ,
712190,Nature Parks and Other Similar Institutions,$7.50 ,
713110,Amusement and Theme Parks,$38.50 ,
713120,Amusement Arcades,$7.50 ,
713210,Casinos (except Casino Hotels),$27.50 ,
713290,Other Gambling Industries,$32.50 ,
713910,Golf Courses and Country Clubs,$15.00 ,
713920,Skiing Facilities,$27.50 ,
713930,Marinas,$7.50 ,
713940,Fitness and Recreational Sports Centers,$7.50 ,
713950,Bowling Centers,$7.50 ,
713990,All Other Amusement and Recreation Industries,$7.50 ,
721110,Hotels (except Casino Hotels) and Motels,$32.50 ,
721120,Casino Hotels,$32.50 ,
721191,Bed-and-Breakfast Inns,$7.50 ,
721199,All Other Traveler Accommodation,$7.50 ,
721211,RV (Recreational Vehicle) Parks and Campgrounds,$7.50 ,
721214,Recreational and Vacation Camps (except Campgrounds),$7.50 ,
721310,"Rooming and Boarding Houses, Dormitories, and Workers' Camps",$7.50 ,
722310,Food Service Contractors,$38.50 ,
722320,Caterers,$7.50 ,
722330,Mobile Food Services,$7.50 ,
722410,Drinking Places (Alcoholic Beverages),$7.50 ,
722511,Full-Service Restaurants,$7.50 ,
722513,Limited-Service Restaurants,$11.00 ,
722514,"Cafeterias, Grill Buffets, and Buffets",$27.50 ,
722515,Snack and Nonalcoholic Beverage Bars,$7.50 ,
811111,General Automotive Repair,$7.50 ,
811112,Automotive Exhaust System Repair,$7.50 ,
811113,Automotive Transmission Repair,$7.50 ,
811118,Other Automotive Mechanical and Electrical Repair and Maintenance,$7.50 ,
811121,"Automotive Body, Paint and Interior Repair and Maintenance",$7.50 ,
811122,Automotive Glass Replacement Shops,$11.00 ,
811191,Automotive Oil Change and Lubrication Shops,$7.50 ,
811192,Car Washes,$7.50 ,
811198,All Other Automotive Repair and Maintenance,$7.50 ,
811211,Consumer Electronics Repair and Maintenance,$7.50 ,
811212,Computer and Office Machine Repair and Maintenance,$27.50 ,
811213,Communication Equipment Repair and Maintenance,$11.00 ,
811219,Other Electronic and Precision Equipment Repair and Maintenance,$20.50 ,
811310,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,$7.50 ,
811411,Home and Garden Equipment Repair and Maintenance,$7.50 ,
811412,Appliance Repair and Maintenance,$15.00 ,
811420,Reupholstery and Furniture Repair,$7.50 ,
811430,Footwear and Leather Goods Repair,$7.50 ,
811490,Other Personal and Household Goods Repair and Maintenance,$7.50 ,
812111,Barber Shops,$7.50 ,
812112,Beauty Salons,$7.50 ,
812113,Nail Salons,$7.50 ,
812191,Diet and Weight Reducing Centers,$20.50 ,
812199,Other Personal Care Services,$7.50 ,
812210,Funeral Homes and Funeral Services,$7.50 ,
812220,Cemeteries and Crematories,$20.50 ,
812310,Coin-Operated Laundries and Drycleaners,$7.50 ,
812320,Drycleaning and Laundry Services (except Coin-Operated),$5.50 ,
812331,Linen Supply,$32.50 ,
812332,Industrial Launderers,$38.50 ,
812910,Pet Care (except Veterinary) Services,$7.50 ,
812921,Photofinishing Laboratories (except One-Hour),$20.50 ,
812922,One-Hour Photofinishing,$15.00 ,
812930,Parking Lots and Garages,$38.50 ,
812990,All Other Personal Services,$7.50 ,
813110,Religious Organizations,$7.50 ,
813211,Grantmaking Foundations,$32.50 ,
813212,Voluntary Health Organizations,$27.50 ,
813219,Other Grantmaking and Giving Services,$38.50 ,
813311,Human Rights Organizations,$27.50 ,
813312,"Environment, Conservation and Wildlife Organizations",$15.00 ,
813319,Other Social Advocacy Organizations,$7.50 ,
813410,Civic and Social Organizations,$7.50 ,
813910,Business Associations,$7.50 ,
813920,Professional Organizations,$15.00 ,
813930,Labor Unions and Similar Labor Organizations,$7.50 ,
813940,Political Organizations,$7.50 ,
813990,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)",$7.50 ,